2026-05-13 00:09:46,734 - DEBUG - 🕸️  Honeypot deployed: /admin| extra=asctime='2026-05-13 00:09:46,734'
2026-05-13 00:09:46,749 - DEBUG - 🕸️  Honeypot deployed: /.env| extra=asctime='2026-05-13 00:09:46,749'
2026-05-13 00:09:46,765 - DEBUG - 🕸️  Honeypot deployed: /.env.local| extra=asctime='2026-05-13 00:09:46,765'
2026-05-13 00:09:46,765 - DEBUG - 🕸️  Honeypot deployed: /.env.production| extra=asctime='2026-05-13 00:09:46,765'
2026-05-13 00:09:46,765 - DEBUG - 🕸️  Honeypot deployed: /config.php| extra=asctime='2026-05-13 00:09:46,765'
2026-05-13 00:09:46,765 - DEBUG - 🕸️  Honeypot deployed: /configuration.php| extra=asctime='2026-05-13 00:09:46,765'
2026-05-13 00:09:46,765 - DEBUG - 🕸️  Honeypot deployed: /wp-config.php| extra=asctime='2026-05-13 00:09:46,765'
2026-05-13 00:09:46,765 - DEBUG - 🕸️  Honeypot deployed: /.git/config| extra=asctime='2026-05-13 00:09:46,765'
2026-05-13 00:09:46,765 - DEBUG - 🕸️  Honeypot deployed: /.git/HEAD| extra=asctime='2026-05-13 00:09:46,765'
2026-05-13 00:09:46,765 - DEBUG - 🕸️  Honeypot deployed: /.aws/credentials| extra=asctime='2026-05-13 00:09:46,765'
2026-05-13 00:09:46,765 - DEBUG - 🕸️  Honeypot deployed: /xmlrpc.php| extra=asctime='2026-05-13 00:09:46,765'
2026-05-13 00:09:46,765 - DEBUG - 🕸️  Honeypot deployed: /phpinfo.php| extra=asctime='2026-05-13 00:09:46,765'
2026-05-13 00:09:46,765 - DEBUG - 🕸️  Honeypot deployed: /info.php| extra=asctime='2026-05-13 00:09:46,765'
2026-05-13 00:09:46,765 - DEBUG - 🕸️  Honeypot deployed: /shell.php| extra=asctime='2026-05-13 00:09:46,765'
2026-05-13 00:09:46,765 - DEBUG - 🕸️  Honeypot deployed: /c99.php| extra=asctime='2026-05-13 00:09:46,765'
2026-05-13 00:09:46,780 - DEBUG - 🕸️  Honeypot deployed: /r57.php| extra=asctime='2026-05-13 00:09:46,780'
2026-05-13 00:09:46,780 - DEBUG - 🕸️  Honeypot deployed: /backup.sql| extra=asctime='2026-05-13 00:09:46,780'
2026-05-13 00:09:46,780 - DEBUG - 🕸️  Honeypot deployed: /backup.zip| extra=asctime='2026-05-13 00:09:46,780'
2026-05-13 00:09:46,780 - DEBUG - 🕸️  Honeypot deployed: /database.sql| extra=asctime='2026-05-13 00:09:46,780'
2026-05-13 00:09:46,780 - DEBUG - 🕸️  Honeypot deployed: /dump.sql| extra=asctime='2026-05-13 00:09:46,780'
2026-05-13 00:09:46,780 - DEBUG - 🕸️  Honeypot deployed: /old| extra=asctime='2026-05-13 00:09:46,780'
2026-05-13 00:09:46,780 - DEBUG - 🕸️  Honeypot deployed: /old.zip| extra=asctime='2026-05-13 00:09:46,780'
2026-05-13 00:18:19,113 - DEBUG - 🕸️  Honeypot deployed: /admin| extra=asctime='2026-05-13 00:18:19,113'
2026-05-13 00:18:19,113 - DEBUG - 🕸️  Honeypot deployed: /administrator| extra=asctime='2026-05-13 00:18:19,113'
2026-05-13 00:18:19,113 - DEBUG - 🕸️  Honeypot deployed: /admin.php| extra=asctime='2026-05-13 00:18:19,113'
2026-05-13 00:18:19,113 - DEBUG - 🕸️  Honeypot deployed: /admin/login| extra=asctime='2026-05-13 00:18:19,113'
2026-05-13 00:18:19,113 - DEBUG - 🕸️  Honeypot deployed: /wp-admin| extra=asctime='2026-05-13 00:18:19,113'
2026-05-13 00:18:19,113 - DEBUG - 🕸️  Honeypot deployed: /wp-login.php| extra=asctime='2026-05-13 00:18:19,113'
2026-05-13 00:18:19,113 - DEBUG - 🕸️  Honeypot deployed: /wp-admin/admin-ajax.php| extra=asctime='2026-05-13 00:18:19,113'
2026-05-13 00:18:19,113 - DEBUG - 🕸️  Honeypot deployed: /phpmyadmin| extra=asctime='2026-05-13 00:18:19,113'
2026-05-13 00:18:19,113 - DEBUG - 🕸️  Honeypot deployed: /pma| extra=asctime='2026-05-13 00:18:19,113'
2026-05-13 00:18:19,113 - DEBUG - 🕸️  Honeypot deployed: /phpMyAdmin| extra=asctime='2026-05-13 00:18:19,113'
2026-05-13 00:18:19,113 - DEBUG - 🕸️  Honeypot deployed: /mysql| extra=asctime='2026-05-13 00:18:19,113'
2026-05-13 00:18:19,113 - DEBUG - 🕸️  Honeypot deployed: /adminer| extra=asctime='2026-05-13 00:18:19,113'
2026-05-13 00:18:19,129 - DEBUG - 🕸️  Honeypot deployed: /adminer.php| extra=asctime='2026-05-13 00:18:19,129'
2026-05-13 00:18:19,129 - DEBUG - 🕸️  Honeypot deployed: /db| extra=asctime='2026-05-13 00:18:19,129'
2026-05-13 00:18:19,129 - DEBUG - 🕸️  Honeypot deployed: /database| extra=asctime='2026-05-13 00:18:19,129'
2026-05-13 00:18:19,129 - DEBUG - 🕸️  Honeypot deployed: /.env| extra=asctime='2026-05-13 00:18:19,129'
2026-05-13 00:18:19,129 - DEBUG - 🕸️  Honeypot deployed: /.env.local| extra=asctime='2026-05-13 00:18:19,129'
2026-05-13 00:18:19,129 - DEBUG - 🕸️  Honeypot deployed: /.env.production| extra=asctime='2026-05-13 00:18:19,129'
2026-05-13 00:18:19,129 - DEBUG - 🕸️  Honeypot deployed: /config.php| extra=asctime='2026-05-13 00:18:19,129'
2026-05-13 00:18:19,129 - DEBUG - 🕸️  Honeypot deployed: /configuration.php| extra=asctime='2026-05-13 00:18:19,129'
2026-05-13 00:18:19,129 - DEBUG - 🕸️  Honeypot deployed: /wp-config.php| extra=asctime='2026-05-13 00:18:19,129'
2026-05-13 00:18:19,129 - DEBUG - 🕸️  Honeypot deployed: /.git/config| extra=asctime='2026-05-13 00:18:19,129'
2026-05-13 00:18:19,129 - DEBUG - 🕸️  Honeypot deployed: /.git/HEAD| extra=asctime='2026-05-13 00:18:19,129'
2026-05-13 00:18:19,145 - DEBUG - 🕸️  Honeypot deployed: /.aws/credentials| extra=asctime='2026-05-13 00:18:19,145'
2026-05-13 00:18:19,145 - DEBUG - 🕸️  Honeypot deployed: /xmlrpc.php| extra=asctime='2026-05-13 00:18:19,145'
2026-05-13 00:18:19,145 - DEBUG - 🕸️  Honeypot deployed: /phpinfo.php| extra=asctime='2026-05-13 00:18:19,145'
2026-05-13 00:18:19,145 - DEBUG - 🕸️  Honeypot deployed: /info.php| extra=asctime='2026-05-13 00:18:19,145'
2026-05-13 00:18:19,145 - DEBUG - 🕸️  Honeypot deployed: /shell.php| extra=asctime='2026-05-13 00:18:19,145'
2026-05-13 00:18:19,145 - DEBUG - 🕸️  Honeypot deployed: /c99.php| extra=asctime='2026-05-13 00:18:19,145'
2026-05-13 00:18:19,145 - DEBUG - 🕸️  Honeypot deployed: /r57.php| extra=asctime='2026-05-13 00:18:19,145'
2026-05-13 00:18:19,145 - DEBUG - 🕸️  Honeypot deployed: /backup.sql| extra=asctime='2026-05-13 00:18:19,145'
2026-05-13 00:18:19,145 - DEBUG - 🕸️  Honeypot deployed: /backup.zip| extra=asctime='2026-05-13 00:18:19,145'
2026-05-13 00:18:19,145 - DEBUG - 🕸️  Honeypot deployed: /database.sql| extra=asctime='2026-05-13 00:18:19,145'
2026-05-13 00:18:19,145 - DEBUG - 🕸️  Honeypot deployed: /dump.sql| extra=asctime='2026-05-13 00:18:19,145'
2026-05-13 00:18:19,160 - DEBUG - 🕸️  Honeypot deployed: /old| extra=asctime='2026-05-13 00:18:19,160'
2026-05-13 00:18:19,160 - DEBUG - 🕸️  Honeypot deployed: /old.zip| extra=asctime='2026-05-13 00:18:19,160'
2026-05-13 00:19:24,598 - DEBUG - 🕸️  Honeypot deployed: /admin| extra=asctime='2026-05-13 00:19:24,598'
2026-05-13 00:19:24,598 - DEBUG - 🕸️  Honeypot deployed: /administrator| extra=asctime='2026-05-13 00:19:24,598'
2026-05-13 00:19:24,598 - DEBUG - 🕸️  Honeypot deployed: /admin.php| extra=asctime='2026-05-13 00:19:24,598'
2026-05-13 00:19:24,598 - DEBUG - 🕸️  Honeypot deployed: /admin/login| extra=asctime='2026-05-13 00:19:24,598'
2026-05-13 00:19:24,614 - DEBUG - 🕸️  Honeypot deployed: /wp-admin| extra=asctime='2026-05-13 00:19:24,614'
2026-05-13 00:19:24,614 - DEBUG - 🕸️  Honeypot deployed: /wp-login.php| extra=asctime='2026-05-13 00:19:24,614'
2026-05-13 00:19:24,614 - DEBUG - 🕸️  Honeypot deployed: /wp-admin/admin-ajax.php| extra=asctime='2026-05-13 00:19:24,614'
2026-05-13 00:19:24,614 - DEBUG - 🕸️  Honeypot deployed: /phpmyadmin| extra=asctime='2026-05-13 00:19:24,614'
2026-05-13 00:19:24,614 - DEBUG - 🕸️  Honeypot deployed: /pma| extra=asctime='2026-05-13 00:19:24,614'
2026-05-13 00:19:24,614 - DEBUG - 🕸️  Honeypot deployed: /phpMyAdmin| extra=asctime='2026-05-13 00:19:24,614'
2026-05-13 00:19:24,614 - DEBUG - 🕸️  Honeypot deployed: /mysql| extra=asctime='2026-05-13 00:19:24,614'
2026-05-13 00:19:24,614 - DEBUG - 🕸️  Honeypot deployed: /adminer| extra=asctime='2026-05-13 00:19:24,614'
2026-05-13 00:19:24,614 - DEBUG - 🕸️  Honeypot deployed: /adminer.php| extra=asctime='2026-05-13 00:19:24,614'
2026-05-13 00:19:24,614 - DEBUG - 🕸️  Honeypot deployed: /db| extra=asctime='2026-05-13 00:19:24,614'
2026-05-13 00:19:24,614 - DEBUG - 🕸️  Honeypot deployed: /database| extra=asctime='2026-05-13 00:19:24,614'
2026-05-13 00:19:24,614 - DEBUG - 🕸️  Honeypot deployed: /.env| extra=asctime='2026-05-13 00:19:24,614'
2026-05-13 00:19:24,614 - DEBUG - 🕸️  Honeypot deployed: /.env.local| extra=asctime='2026-05-13 00:19:24,614'
2026-05-13 00:19:24,614 - DEBUG - 🕸️  Honeypot deployed: /.env.production| extra=asctime='2026-05-13 00:19:24,614'
2026-05-13 00:19:24,630 - DEBUG - 🕸️  Honeypot deployed: /config.php| extra=asctime='2026-05-13 00:19:24,630'
2026-05-13 00:19:24,630 - DEBUG - 🕸️  Honeypot deployed: /configuration.php| extra=asctime='2026-05-13 00:19:24,630'
2026-05-13 00:19:24,630 - DEBUG - 🕸️  Honeypot deployed: /wp-config.php| extra=asctime='2026-05-13 00:19:24,630'
2026-05-13 00:19:24,630 - DEBUG - 🕸️  Honeypot deployed: /.git/config| extra=asctime='2026-05-13 00:19:24,630'
2026-05-13 00:19:24,630 - DEBUG - 🕸️  Honeypot deployed: /.git/HEAD| extra=asctime='2026-05-13 00:19:24,630'
2026-05-13 00:19:24,630 - DEBUG - 🕸️  Honeypot deployed: /.aws/credentials| extra=asctime='2026-05-13 00:19:24,630'
2026-05-13 00:19:24,630 - DEBUG - 🕸️  Honeypot deployed: /xmlrpc.php| extra=asctime='2026-05-13 00:19:24,630'
2026-05-13 00:19:24,630 - DEBUG - 🕸️  Honeypot deployed: /phpinfo.php| extra=asctime='2026-05-13 00:19:24,630'
2026-05-13 00:19:24,630 - DEBUG - 🕸️  Honeypot deployed: /info.php| extra=asctime='2026-05-13 00:19:24,630'
2026-05-13 00:19:24,630 - DEBUG - 🕸️  Honeypot deployed: /shell.php| extra=asctime='2026-05-13 00:19:24,630'
2026-05-13 00:19:24,645 - DEBUG - 🕸️  Honeypot deployed: /c99.php| extra=asctime='2026-05-13 00:19:24,645'
2026-05-13 00:19:24,645 - DEBUG - 🕸️  Honeypot deployed: /r57.php| extra=asctime='2026-05-13 00:19:24,645'
2026-05-13 00:19:24,645 - DEBUG - 🕸️  Honeypot deployed: /backup.sql| extra=asctime='2026-05-13 00:19:24,645'
2026-05-13 00:19:24,645 - DEBUG - 🕸️  Honeypot deployed: /backup.zip| extra=asctime='2026-05-13 00:19:24,645'
2026-05-13 00:19:24,645 - DEBUG - 🕸️  Honeypot deployed: /database.sql| extra=asctime='2026-05-13 00:19:24,645'
2026-05-13 00:19:24,645 - DEBUG - 🕸️  Honeypot deployed: /dump.sql| extra=asctime='2026-05-13 00:19:24,645'
2026-05-13 00:19:24,645 - DEBUG - 🕸️  Honeypot deployed: /old| extra=asctime='2026-05-13 00:19:24,645'
2026-05-13 00:19:24,645 - DEBUG - 🕸️  Honeypot deployed: /old.zip| extra=asctime='2026-05-13 00:19:24,645'
2026-05-13 00:19:45,169 - DEBUG - 🕸️  Honeypot deployed: /admin| extra=asctime='2026-05-13 00:19:45,169'
2026-05-13 00:19:45,169 - DEBUG - 🕸️  Honeypot deployed: /administrator| extra=asctime='2026-05-13 00:19:45,169'
2026-05-13 00:19:45,169 - DEBUG - 🕸️  Honeypot deployed: /admin.php| extra=asctime='2026-05-13 00:19:45,169'
2026-05-13 00:19:45,169 - DEBUG - 🕸️  Honeypot deployed: /admin/login| extra=asctime='2026-05-13 00:19:45,169'
2026-05-13 00:19:45,169 - DEBUG - 🕸️  Honeypot deployed: /wp-admin| extra=asctime='2026-05-13 00:19:45,169'
2026-05-13 00:19:45,185 - DEBUG - 🕸️  Honeypot deployed: /wp-login.php| extra=asctime='2026-05-13 00:19:45,185'
2026-05-13 00:19:45,185 - DEBUG - 🕸️  Honeypot deployed: /wp-admin/admin-ajax.php| extra=asctime='2026-05-13 00:19:45,185'
2026-05-13 00:19:45,185 - DEBUG - 🕸️  Honeypot deployed: /phpmyadmin| extra=asctime='2026-05-13 00:19:45,185'
2026-05-13 00:19:45,185 - DEBUG - 🕸️  Honeypot deployed: /pma| extra=asctime='2026-05-13 00:19:45,185'
2026-05-13 00:19:45,185 - DEBUG - 🕸️  Honeypot deployed: /phpMyAdmin| extra=asctime='2026-05-13 00:19:45,185'
2026-05-13 00:19:45,185 - DEBUG - 🕸️  Honeypot deployed: /mysql| extra=asctime='2026-05-13 00:19:45,185'
2026-05-13 00:19:45,185 - DEBUG - 🕸️  Honeypot deployed: /adminer| extra=asctime='2026-05-13 00:19:45,185'
2026-05-13 00:19:45,185 - DEBUG - 🕸️  Honeypot deployed: /adminer.php| extra=asctime='2026-05-13 00:19:45,185'
2026-05-13 00:19:45,185 - DEBUG - 🕸️  Honeypot deployed: /db| extra=asctime='2026-05-13 00:19:45,185'
2026-05-13 00:19:45,185 - DEBUG - 🕸️  Honeypot deployed: /database| extra=asctime='2026-05-13 00:19:45,185'
2026-05-13 00:19:45,185 - DEBUG - 🕸️  Honeypot deployed: /.env| extra=asctime='2026-05-13 00:19:45,185'
2026-05-13 00:19:45,185 - DEBUG - 🕸️  Honeypot deployed: /.env.local| extra=asctime='2026-05-13 00:19:45,185'
2026-05-13 00:19:45,185 - DEBUG - 🕸️  Honeypot deployed: /.env.production| extra=asctime='2026-05-13 00:19:45,185'
2026-05-13 00:19:45,185 - DEBUG - 🕸️  Honeypot deployed: /config.php| extra=asctime='2026-05-13 00:19:45,185'
2026-05-13 00:19:45,200 - DEBUG - 🕸️  Honeypot deployed: /configuration.php| extra=asctime='2026-05-13 00:19:45,200'
2026-05-13 00:19:45,200 - DEBUG - 🕸️  Honeypot deployed: /wp-config.php| extra=asctime='2026-05-13 00:19:45,200'
2026-05-13 00:19:45,200 - DEBUG - 🕸️  Honeypot deployed: /.git/config| extra=asctime='2026-05-13 00:19:45,200'
2026-05-13 00:19:45,200 - DEBUG - 🕸️  Honeypot deployed: /.git/HEAD| extra=asctime='2026-05-13 00:19:45,200'
2026-05-13 00:19:45,200 - DEBUG - 🕸️  Honeypot deployed: /.aws/credentials| extra=asctime='2026-05-13 00:19:45,200'
2026-05-13 00:19:45,200 - DEBUG - 🕸️  Honeypot deployed: /xmlrpc.php| extra=asctime='2026-05-13 00:19:45,200'
2026-05-13 00:19:45,200 - DEBUG - 🕸️  Honeypot deployed: /phpinfo.php| extra=asctime='2026-05-13 00:19:45,200'
2026-05-13 00:19:45,200 - DEBUG - 🕸️  Honeypot deployed: /info.php| extra=asctime='2026-05-13 00:19:45,200'
2026-05-13 00:19:45,200 - DEBUG - 🕸️  Honeypot deployed: /shell.php| extra=asctime='2026-05-13 00:19:45,200'
2026-05-13 00:19:45,200 - DEBUG - 🕸️  Honeypot deployed: /c99.php| extra=asctime='2026-05-13 00:19:45,200'
2026-05-13 00:19:45,200 - DEBUG - 🕸️  Honeypot deployed: /r57.php| extra=asctime='2026-05-13 00:19:45,200'
2026-05-13 00:19:45,200 - DEBUG - 🕸️  Honeypot deployed: /backup.sql| extra=asctime='2026-05-13 00:19:45,200'
2026-05-13 00:19:45,200 - DEBUG - 🕸️  Honeypot deployed: /backup.zip| extra=asctime='2026-05-13 00:19:45,200'
2026-05-13 00:19:45,216 - DEBUG - 🕸️  Honeypot deployed: /database.sql| extra=asctime='2026-05-13 00:19:45,216'
2026-05-13 00:19:45,216 - DEBUG - 🕸️  Honeypot deployed: /dump.sql| extra=asctime='2026-05-13 00:19:45,216'
2026-05-13 00:19:45,216 - DEBUG - 🕸️  Honeypot deployed: /old| extra=asctime='2026-05-13 00:19:45,216'
2026-05-13 00:19:45,216 - DEBUG - 🕸️  Honeypot deployed: /old.zip| extra=asctime='2026-05-13 00:19:45,216'
2026-05-13 00:21:22,539 - DEBUG - 🕸️  Honeypot deployed: /admin| extra=asctime='2026-05-13 00:21:22,539'
2026-05-13 00:21:22,539 - DEBUG - 🕸️  Honeypot deployed: /administrator| extra=asctime='2026-05-13 00:21:22,539'
2026-05-13 00:21:22,539 - DEBUG - 🕸️  Honeypot deployed: /admin.php| extra=asctime='2026-05-13 00:21:22,539'
2026-05-13 00:21:22,539 - DEBUG - 🕸️  Honeypot deployed: /admin/login| extra=asctime='2026-05-13 00:21:22,539'
2026-05-13 00:21:22,539 - DEBUG - 🕸️  Honeypot deployed: /wp-admin| extra=asctime='2026-05-13 00:21:22,539'
2026-05-13 00:21:22,554 - DEBUG - 🕸️  Honeypot deployed: /wp-login.php| extra=asctime='2026-05-13 00:21:22,554'
2026-05-13 00:21:22,554 - DEBUG - 🕸️  Honeypot deployed: /wp-admin/admin-ajax.php| extra=asctime='2026-05-13 00:21:22,554'
2026-05-13 00:21:22,554 - DEBUG - 🕸️  Honeypot deployed: /phpmyadmin| extra=asctime='2026-05-13 00:21:22,554'
2026-05-13 00:21:22,554 - DEBUG - 🕸️  Honeypot deployed: /pma| extra=asctime='2026-05-13 00:21:22,554'
2026-05-13 00:21:22,554 - DEBUG - 🕸️  Honeypot deployed: /phpMyAdmin| extra=asctime='2026-05-13 00:21:22,554'
2026-05-13 00:21:22,554 - DEBUG - 🕸️  Honeypot deployed: /mysql| extra=asctime='2026-05-13 00:21:22,554'
2026-05-13 00:21:22,554 - DEBUG - 🕸️  Honeypot deployed: /adminer| extra=asctime='2026-05-13 00:21:22,554'
2026-05-13 00:21:22,554 - DEBUG - 🕸️  Honeypot deployed: /adminer.php| extra=asctime='2026-05-13 00:21:22,554'
2026-05-13 00:21:22,554 - DEBUG - 🕸️  Honeypot deployed: /db| extra=asctime='2026-05-13 00:21:22,554'
2026-05-13 00:21:22,554 - DEBUG - 🕸️  Honeypot deployed: /database| extra=asctime='2026-05-13 00:21:22,554'
2026-05-13 00:21:22,554 - DEBUG - 🕸️  Honeypot deployed: /.env| extra=asctime='2026-05-13 00:21:22,554'
2026-05-13 00:21:22,554 - DEBUG - 🕸️  Honeypot deployed: /.env.local| extra=asctime='2026-05-13 00:21:22,554'
2026-05-13 00:21:22,554 - DEBUG - 🕸️  Honeypot deployed: /.env.production| extra=asctime='2026-05-13 00:21:22,554'
2026-05-13 00:21:22,554 - DEBUG - 🕸️  Honeypot deployed: /config.php| extra=asctime='2026-05-13 00:21:22,554'
2026-05-13 00:21:22,570 - DEBUG - 🕸️  Honeypot deployed: /configuration.php| extra=asctime='2026-05-13 00:21:22,570'
2026-05-13 00:21:22,570 - DEBUG - 🕸️  Honeypot deployed: /wp-config.php| extra=asctime='2026-05-13 00:21:22,570'
2026-05-13 00:21:22,570 - DEBUG - 🕸️  Honeypot deployed: /.git/config| extra=asctime='2026-05-13 00:21:22,570'
2026-05-13 00:21:22,570 - DEBUG - 🕸️  Honeypot deployed: /.git/HEAD| extra=asctime='2026-05-13 00:21:22,570'
2026-05-13 00:21:22,570 - DEBUG - 🕸️  Honeypot deployed: /.aws/credentials| extra=asctime='2026-05-13 00:21:22,570'
2026-05-13 00:21:22,570 - DEBUG - 🕸️  Honeypot deployed: /xmlrpc.php| extra=asctime='2026-05-13 00:21:22,570'
2026-05-13 00:21:22,570 - DEBUG - 🕸️  Honeypot deployed: /phpinfo.php| extra=asctime='2026-05-13 00:21:22,570'
2026-05-13 00:21:22,570 - DEBUG - 🕸️  Honeypot deployed: /info.php| extra=asctime='2026-05-13 00:21:22,570'
2026-05-13 00:21:22,570 - DEBUG - 🕸️  Honeypot deployed: /shell.php| extra=asctime='2026-05-13 00:21:22,570'
2026-05-13 00:21:22,570 - DEBUG - 🕸️  Honeypot deployed: /c99.php| extra=asctime='2026-05-13 00:21:22,570'
2026-05-13 00:21:22,570 - DEBUG - 🕸️  Honeypot deployed: /r57.php| extra=asctime='2026-05-13 00:21:22,570'
2026-05-13 00:21:22,570 - DEBUG - 🕸️  Honeypot deployed: /backup.sql| extra=asctime='2026-05-13 00:21:22,570'
2026-05-13 00:21:22,570 - DEBUG - 🕸️  Honeypot deployed: /backup.zip| extra=asctime='2026-05-13 00:21:22,570'
2026-05-13 00:21:22,586 - DEBUG - 🕸️  Honeypot deployed: /database.sql| extra=asctime='2026-05-13 00:21:22,586'
2026-05-13 00:21:22,586 - DEBUG - 🕸️  Honeypot deployed: /dump.sql| extra=asctime='2026-05-13 00:21:22,586'
2026-05-13 00:21:22,633 - DEBUG - 🕸️  Honeypot deployed: /old| extra=asctime='2026-05-13 00:21:22,633'
2026-05-13 00:21:22,633 - DEBUG - 🕸️  Honeypot deployed: /old.zip| extra=asctime='2026-05-13 00:21:22,633'
